ASIN,bookDescription
9390292921,"Depicting the ‘five principle conduct’ about life, The Panchatantra Stories are timeless classics. Readers of all age groups enjoy reading and re-reading the Panchatantra Stories as they impart profound wisdom and moral values about the conduct of life through simple narratives. Written in their present form by Pandit Vishnu Sharma, the Panchatantra Stories were narrated to impart worldly wisdom to king Amar shakti three sons. With these enchanting stories, readers especially kids will love to explore the adventurous worlds of their favourite animal characters and learn life lessons about friendship, courage, honesty, good, evil, deceit, hard work and integrity."
8119898702,"Embark on a journey through the world of science with this set of biographies of ten scientists from India and around the world. This amazing collection introduces young readers to the brilliant minds behind groundbreaking discoveries and innovations, showcasing the incredible journeys of these scientists. This set is a must-have addition to any young reader's library, fostering a love for learning and an early appreciation for the wonders of science. It is perfect for curious minds eager to explore the fascinating world of science!

This set explores the lives of a diverse array of scientists who have shaped the world of science. This collection features scientists like Galileo, Newton, Darwin, Einstein, Ramanujan, Marie Curie, Homi Bhabha, CV Raman, Vikram Sarabhai and Abdul Kalam.
Each book weaves a captivating narrative that brings the stories of these scientists to life. From their early years and challenges to their groundbreaking achievements, the narratives provide an engaging and educational experience.
Each biography speaks of various scientific principles and concepts associated with the scientist's work, making it an enriching learning experience for young enthusiasts.
Discover the stories and anecdotes that shaped these scientists' journeys. Through triumphs and setbacks, readers will be inspired by the perseverance and determination that fueled these brilliant minds in their quest for knowledge and discovery.
Kids will enhance their reading experience with visually stunning illustrations that complement the narratives."
8187107537,"Bedtime will now be a time of magical fairies. Mischievous elves, wicked witches and talking animals! Enter a wondrous land of fantasy and fun with this amazing collection of 365 bedtime stories."
9353767555,"A beautifully illustrated series depicting wonderful tales of tragedy and comedy, magic and romance! These tales by William Shakespeare not only fire the imagination, but also improve the vocabulary of the young reader"
935376758X,"Join in the adventures of pirates through this collection of 6 books that are exciting and thrilling as ever! Full of smart and wicked pirates who have treasures to chase, mysteries to solve, and travel the high seas, these short tales offer a fun treat of amusement and adventure."
8197104832,"Indian author Ruskin Bond's short stories have enchanted generations of readers, from children to adults, for over six decades. His unique ability to craft tales that blend simple narratives with deep emotional resonance has made him one of India’s most beloved authors. In this collection, three of his literary gems take center stage, offering a mix of mystery, suspense, and the occasional mind-bending twist that keeps readers on the edge of their seats. Bond's stories are not only known for their gripping plots but also for their vivid portrayal of characters and settings, allowing readers to immerse themselves fully in his imaginative world.

Adding to the reading experience are the beautifully illustrated scenes within these pages, which help bring the stories to life. The illustrations enhance the reader's vision of Bond’s finely woven settings, from quiet hill stations to bustling cities, making every story feel more real and impactful. As a recipient of India’s third-highest civilian award, Bond's enduring legacy in Indian literature is a testament to his storytelling genius. Whether you’re a first-time reader or revisiting his timeless works, this collection is sure to captivate and leave you wanting more."
8119099397,"Phonic readers aid young learners in enhancing their reading skills by introducing them to the connection between sounds and letters. These books teach kids to the fundamental building blocks of reading, such as letter sounds, word blending and phonetic patterns.

This set of 6 books has been designed to engage kids in developing reading skills through exciting stories coupled with colourful illustrations. The stories incorporate words that follow phonetic and rhyming patterns allowing kids to practise and reinforce their understanding of different sounds and letter combinations. The stories included here are ""Bess and the School Bus,"" ""Dee and Zee Visit the Sea,"" ""Dilly the Dinosaur,"" ""Fluffy and the Fish,"" ""Pat at the Zoo"" and ""The Fat Cat.""

This phonic reader is a set of 6 books introducing kids to phonetic patterns to help expand their reading skills and vocabulary.
These phonic storybooks keep kids engaged and excited as they go through pages filled with colourful illustrations and fun stories.
e-fragment=""1"">The phonic and rhyming patterns in the stories help kids read and identify words and improve memory and concentration.
The stories are made up of short sentences with themes from everyday activities, letting kids identify and understand the story better.
Finally, these books will let kids develop a love for books from an early age."
8131944700,"Introduce your child to the enchanting world of storytelling with our captivating Story Book Sets. Packed with imagination and adventure, these books open the door to a colorful characters with exciting narratives that will spark your child's curiosity !!!

From classic tales to modern adventures, our collection offers a diverse range of stories designed to entertain and educate young minds.

The Lists of the Story Book Sets are:

1. Aladdin & the Magic Lamp
2. Alibaba & the Forty Theives
3. Jack & the Beanstalk
4. The Jungle Book
5. Peter Pan
6. The Golden Goose
7. The Three Billy Goats
8. The Town Mouse & The Country Mouse
9. The Wolf & the Seven Young Kids
10. Treaseure Island

Whether it's a thrilling mystery, a heartwarming tale of friendship, or an exciting adventure in a far-off land, our Story Books Set for kids is a gateway to endless possibilities and a treasure of knowledge, making learning an enjoyable experience for your little one."
9354403697,"“Have no fear,” said Gold, “while I am at your side. In my heart, however, is great sorrow, which I beg you to remove by telling your story.” This edition encompasses the best short fiction ever written for children. The beloved, enchanting fairy tales, such as of Cinderella and the Sleeping Beauty, thrilling stories packed with the adventures of Sindbad and Aladdin, excerpts from iconic works such as Oliver Twist and Gulliver’s Travels—all this and many more stories that inform, educate, entertain, and enthral children and fill them with wonder and fire up their imagination, have been included in this covetable collection."
9394668667,"Written by Aesop, a Greek storyteller, these short narratives teach kids the difference between good and evil. Reading these short stories will help kids develop vocabulary and enhance their communication skills. The large, colourful illustrations and simple narratives in the books will teach kids valuable life lessons. Also, the anthropomorphic characters will keep kids entertained and amused. Some of the stories in this set are “The Ass and the Lapdog,” “Hercules and the Wagoner,” “The Bat and the Weasels,” “The Sly Fox,” “The Foolish Frog” and more. • The 10 moral stories with colourful illustrations and simple narratives will take kids on a trip to fantasy land. • Every short story has a moral to show kids the reward for good behaviour and punishment for bad behaviour. • The short stories with animal characters will ignite imagination in kids’ minds. Reading these moral stories will also help kids enhance communication and language skills. • Aesop’s fables have been read for several generations and have never failed to amuse readers. Kids can read these stories in between studies or at bedtime. • The settings and characters in these moral stories will help kids develop a new perspective about the real world."
9389567831,"The Illustrated Stories of Akbar and Birbal: Classic Tales From India

An enchanting collection of the beloved tales of Emperor Akbar and his witty advisor, Birbal. The tales showcase Birbal's wit, intelligence, and charm as he solves complex problems and navigates the mysteries.

Timeless Tales of Wisdom and Wit!

Beautiful and vibrant illustrations
Explores themes of loyalty and friendship
Imparts valuable lessons on wisdom, justice, and cleverness
Suitable for all ages
Introduces glorious heritage of India"
0008333785,"The stunning new 10+ story from the bestselling and award-winning author of time travelling with a hamster, for anyone who loved the humour of wall-e, the action of star Wars and the deeply touching emotion of et. A small village in the wilds of northumberland is rocked by the disappearance of twelve-year-old Tammy. Only her twin brother, Ethan, knows she is safe  and the extraordinary truth of where she is. It is a secret he must keep, or risk never seeing her again. But that doesn't mean hes going to give up. Together with his friend Iggy and the mysterious (and very hairy) hellyann, Ethan teams up with a spaceship called Philip, and Suzy the trained chicken, for a nail-biting chase to get his sister backthat will take him further than anyone has ever been before."
9395976209,"Reading opens the mind to a world of fantasy and creativity. Thus, it is never too late to introduce kids to the world of stories. This set comprises ten evergreen stories that have been retold over generations. These classic moral tales have never failed to create an everlasting impact on kids while also teaching them about kindness, hard work, friendship, common sense, wisdom, deceit, lies and more. Narrated in simple language with large fonts, each story has colourful illustrations to engage kids as they learn good behaviour and improve communication skills. Let imagination ignite in tender minds as they read “The Ant and the Grasshopper,” “The Fox and the Raven,” “The Monkey and the Crocodile,” “The Turtle and the Swans,” “The Fox and the Stork” and other exciting stories."
9388369882,First learning library of 20 Board books to introduce wide range of learning topics and to develop basic concepts for little scholars. Well-researched pictures and accurate word labels encourages the ensure faster development of a child’s vocabulary.
9356270627,"Storytelling has proven to be one of the most effective methods of teaching children about anything!! Keeping that in mind myNachiketa has created a magical world of 8 adventurous, fun-filled stories, which will keep your child hooked and boost their imagination. These stories are inspired by the concepts of Gita and Upanishads, which can provide children with quick learning.
In each story, the character explores a question—but no teacher or book gives them the answer! They find the answers themselves through an adventure, which develops the mental and analytical skills of the children. The stories have various adventures, magic, mysteries and fantasies, which appeal to children.
It also has another attractive feature: every two pages of reading has a drawing for coloring, so the book also acts as a coloring book which enhances creativity. It also has an interesting activity included with each story, such as completing a story, doing an experiment, drawing or writing a poem.
We encourage children reading our book to start asking questions and finding answers in their own unique way. Ideal for the teacher and parents. The book is perfect for kids as a present on their birthday.
We hope you and your children enjoy reading this book as much as we enjoyed creating it for you and that you keep coming back to it every time you need some magic in your lives
myNachiketa is a non profit organisation dedicated to bring Gita concepts to children. We produce books, workshops and videos relating to Hinduism for children."
9386538997,"Enter the enchanting world of Frances Hodgson Burnett's timeless classic, The Secret Garden. Follow young Mary Lennox as she discovers a hidden paradise, filled with wonders and secrets waiting to be unlocked. This edition captures the magic and beauty of the garden's transformative power.


Captivating edition of Frances Hodgson Burnett's beloved classic, The Secret Garden
Join Mary on her journey of discovery and transformation
Experience the magic of a hidden garden and its profound impact on lives
Perfect for readers of all ages, from children to adults
A cherished addition to any book collection, inspiring hope and the joy of nature."
9389432006,"Discover a captivating collection of the five best works in children's literature, presented in a beautifully designed box set that is both a treasure for your library and an ideal gift. Join a young boy in a Sahara Desert crash landing, soar to Neverland with Peter Pan, explore the enchanting secret garden with Mary, journey to the magical city of Emeralds and encounter the Wizard of Oz, and befriend Sara, the imaginative little princess. These delightful and enthralling tales of adventure have stood the test of time, remaining beloved favorites that ignite the imagination and capture the hearts of readers of all ages.


Timeless tales that ignite the imagination anew.
Beautifully designed box set, a collector's treasure.
Adventures that transport readers to magical worlds.
Beloved classics that captivate hearts across generations.
Perfect gift to spark a lifelong love for reading."
2020072769,"In the Cat Kid Comic Club, Li'l Petey, Flippy, and Molly help twenty-one spirited, funny, and talented baby frogs learn to express themselves through comics. The adventures unwind with mishaps and hilarity as the creative baby frogs experience the mistakes and progress that come with practice and persistence. The Cat Kid Comic Club Collection includes the first, second, and third graphic novels in the Cat Kid Comic Club series: Cat Kid Comic Club, Cat Kid Comic Club: Perspectives, and Cat Kid Comic Club: On Purpose."
9354402569,"Earth, the third planet from the sun, is the only one teeming with life. It is wondrous, mysterious with a life of its own. This boxset of 6 encyclopedias will answer all your questions about our magnificent Planet Earth—about the various formations on earth, its vast forests, mesmerizing natural wonders and life-giving rivers. Learning is made simpler with detailed images and an extensive glossary of difficult words. Bonus: the books in the boxset come loaded with Isn’t It Amazing—a section of fun facts to keep you glued for more."
938993155X,"Professor Lidenbrock finds a mysterious message in an ancient manuscript by a legendary scholar. Thus begins an exciting quest with his reluctant nephew Axel and their steadfast guide hans—to reach all the way to the center of the Earth! As they descend into the core of the Earth, things get more and more difficult. They witness some fantastical sights, epic battles and try to escape a disastrous death! Follow the three men in their unpredictable journey to the center of the Earth!."
0143459481,"The Hook Books are short, simple, and fun stories for beginning readers set in different parts of India. They have gorgeous illustrations to draw young readers in and short exercises to enhance the reading experience. Be it two friends in Kerala who have a disagreement, a little girl in Maharashtra who has to find the perfect present, a girl in Himachal who will not speak, a ghost in Jharkhand or some pesky crows in Tamil Nadu, your child will Get Hooked to reading with these splendid, funny and exciting reads!"
0143458000,"This gift edition features the greatest mythological stories retold by India's favorite author Sudha Murty.

Filled with innumerable unusual legends of powerful gods and demons, alluring creatures and feisty women, the books in this collection are packed with arresting illustrations, captivating characters and magical worlds to keep every reader hooked. Read these enchanting narratives that will transport you to another time and fill you with a sense of wonder.

The Serpent's Revenge: Unusual Tales from the Mahabharata
Extraordinary stories that reintroduce the fascinating world of India's greatest epic, the Mahabharata.

The Man from the Egg: Unusual Tales about the Trinity
Unknown myths about the three most powerful gods from the ancient world-Brahma, Vishnu and Shiva.

The Upside-Down King: Unusual Tales about Rama and Krishna Fascinating stories that surround the two most popular avatars of Lord Vishnu-Rama and Krishna-and their lineage.

The Daughter from a Wishing Tree: Unusual Tales about Women in Mythology From Parvati to Ashokasundari and Bhamati to Mandodari, this book features fearless women who frequently led wars on behalf of the gods, slew demons and protected their devotees.

The Sage with Two Horns: Unusual Tales from Mythology: A gem of a collection featuring lesser-known accounts of wit, wisdom and intrigue from Indian mythology."
014346180X,"Dive into twelve timeless classic whodunnits by iconic storyteller Satyajit Ray, featuring the legendary detective, Feluda. Join the private investigator as he plunges into seemingly impossible and strange cases accompanied by his sharp and curious nephew, Topse, and the comically anxious novelist, Jatayu.

1. THE EMPEROR'S RING: Feluda is on holiday in Lucknow when a priceless Mughal ring is stolen.

2. THE ROYAL BENGAL MYSTERY: A bloodthirsty tiger is suspiciously killing off people related to an ancestral treasure.

3. THE HOUSE OF DEATH: The search of a scroll leads Feluda to a motley crew of characters, among whom lurks a dangerous killer.

4. TROUBLE IN GANGTOK: In the picturesque city of Gangtok, a businessman is murdered, and the list of suspects is long.

5. THE MYSTERY OF THE ELEPHANT GOD: In Varanasi, the theft of a valuable statuette of Ganesha leads Feluda to unmask a fake sadhu.

6. THE GOLDEN FORTRESS: Feluda sets out in search of a missing boy claiming to remember his previous life.

7. THE CURSE OF THE GODDESS: A stamp collection vanishes; some coded diaries are uncovered and the head of a family in Hazaribagh lies dead.

8. THE BANDITS OF BOMBAY: Soon after Jatayu hands over a package to a man in a red shirt, someone is murdered.

9. THE SECRET OF THE CEMETERY: Feluda chances upon an old grave that has been dug up at the Park Street cemetery.

10. A KILLER IN KAILASH: Feluda, Topse and Jatayu try to prevent the smuggling of priceless sculptures out of India.

11. THE CRIMINALS IN KATHMANDU: A murder in Calcutta sets Feluda on a trail that leads him all the way to Kathmandu and the doorstep of his arch-nemesis, Maganlal Meghraj.

12. THE INCIDENT ON THE KALKA MAIL: When a man's blue briefcase gets accidentally switched with someone else's during a train ride, he enlists Feluda's help to recover it."
819601094X,This set of six books contains world famous fairy tales retold in simple words and attractive illustrations that trigger the little reader’s imagination and develop in them a love for reading.
8196010923,"Get familiar with popular fables from around the world through this collection of 12 books, enjoy the interesting stories accompanied by wonderful illustrations and have a great time!"
9354400507,"Indian Mythology is vast and absorbing with endless mesmerizing tales and legends. Tales from Indian Mythology is a captivating series of 10 books that aims to fascinate and educate young readers about our deep-rooted culture. Retold in a simple language with fantastic illustrations this series includes stories of Shiva, Durga, Krishna, Hanuman and much more. These tales are meant to guide young and old alike in and about Indian traditions and culture."
9354404286,"Indian Mythology is vast and absorbing with endless mesmerizing tales and legends. Tales from Indian Mythology is a captivating series of 5 books that aims to fascinate and educate young readers about our deep-rooted culture. Retold in a simple language with fantastic illustrations this series includes stories of Ram, Shiva, Hanuman, Ganesha, adn Vishnu. These tales are meant to guide young and old alike in and about Indian traditions and culture."
9391258492,"Teaching children what is right and what is wrong is very important. This set of ten books includes some of the best moral stories that will help build strong values in children. They will not only enjoy reading these beautifully narrated and illustrated stories, but will also learn meaningful values of life."
0143451936,"A keepsake edition with 25 stories.
Beautiful illustrations accompanying the stories make it a fun read
Engages middle-school students--an essential book to be stocked in libraries
A collection of Ruskin Bond's best stories with endearing characters--hand-picked by the author himself.

All Time Favourites for Children celebrates Ruskin Bond's writing with stories that are perennially loved and can now be enjoyed in a single collectible volume. Curated and selected by India's most loved writer, this collection brings some of the evocative episodes from Ruskin's life, iconic Rusty, eccentric Uncle Ken, ubiquitous grandmother, and many other charming, endearing characters in a single volume while also introducing us to a smattering of new ones that are sure to be firm favourites with young readers. Heart-warming, funny and spirited, this is a must-have on every bookshelf!"
8129118920,"Great Stories for Children is a collection of some of Ruskin Bond's most delightful children's stories. It stars Toto, the monkey, who takes a fancy to the narrator's aunt, much to her dismay, a python besotted by his own appearance, a mischievous ghost who enjoys stirring up the house when things get dull, three young children stranded in a storm on the Haunted Hilland Ruskin Bond himself, who happens to make the acquaintance of a ghost at a resort late one night."
8131932494,"Indulge in a world of enchantment and soothing dreams with our collection of bedtime stories. Designed to create magical moments before sleep, these captivating tales will transport your child to whimsical realms and help them drift off into a peaceful slumber.

Inside this collection, you will find a treasure trove of carefully selected stories that are perfect for bedtime. From classic fairy tales to imaginative adventures, each story is thoughtfully crafted to capture the imagination and instill a sense of wonder. As you embark on these literary journeys together, you'll create memories that will last a lifetime.

The soothing rhythm and gentle language of bedtime stories create a sense of calm and tranquility, setting the perfect atmosphere for a peaceful night's sleep. As you read aloud, your child will be lulled by the melodic cadence of your voice, helping them relax and unwind after a busy day.

Our collection of bedtime stories is designed with your child's comfort in mind. The book's durable construction and soft, matte pages ensure a gentle touch for little hands. With its appealing illustrations and easy-to-read text, this collection is suitable for children of all ages.

Make bedtime a magical experience with our collection of bedtime stories. Spark your child's imagination, inspire their dreams, and create a nightly ritual that promotes a love for reading. Whether it's a familiar favorite or a new adventure waiting to be discovered, our bedtime stories will transport your child to a world of wonder and leave them with sweet dreams. Order your collection today and embark on an enchanting journey every night."
938956784X,"The classic stories of the Vikatakavi, Tenali Raman, with valuable morals are passed on from generation to generation. This beautifully illustrated book is a compilation of witty Tenali Raman stories that ignites the young minds and captures their imagination. Each tale in this book reveals Tenali’s wisdom, wit and fair play.


Classic stories for children
Lovely illustrations
Inculcates reading habit among children
Builds vocabulary
Ignites imagination"
935376498X,"Princess Zara does not need a charming prince or a knight in shining armour to save her, she leads her own exciting adventures. This collection of six stories map Princess Zara’s adventures and will transport young readers into a world of thrill and fantasy!"
9386041073,Join the Thea Sisters as they try to solve the mystery of who wrote a love letter on campus. Who has a secret admirer?
8196149921,"This set of 5 reading books will introduce kids to the lives of scientists and their respective contributions. The books include simple narratives and colourful illustrations to make this an interesting read and to get kids excited about learning more about science. Reading these books will also help kids improve their language skills. • This is a set of reading books that will introduce kids to the lives and work of 5 of the most outstanding scientists in India. • The scientists included in this set are CV Raman, Homi J Bhabha, Srinivasa Ramanujan, Vikram Sarabhai and APJ Abdul Kalam. • Each book narrates the story of one scientist and his contributions that have helped humanity over the years. • Let kids be amazed and inspired by the determination these men of science displayed even as young boys, in the face of opposition or failure, and never gave up till they achieved their dreams. • Further, these reading books will also help kids improve their vocabulary and enhance their communication skills."
9390292948,"Depicting the ‘five principle conduct’ about life, The Panchatantra Stories are timeless classics. Readers of all age groups enjoy reading and re-reading the Panchatantra Stories as they impart profound wisdom and moral values about the conduct of life through simple narratives. Written in their present form by Pandit Vishnu Sharma, the Panchatantra Stories were narrated to impart worldly wisdom to king Amar shakti three sons. With these enchanting stories, readers especially kids will love to explore the adventurous worlds of their favourite animal characters and learn life lessons about friendship, courage, honesty, good, evil, deceit, hard work and integrity."
9389931495,"A timeless compilation of 101 moral Stories from Panchatantra that have been a part of the Indian folklore for centuries. Delightfully narrated, with animals and birds often being the central characters, these tales continue to enchant young readers even today. Its large and vibrant illustrations will transport you to a world where young readers are guided about the wise conduct of life, human nature and attaining success in life."
9391129307,"""

It is necessary to introduce and teach mythology to children and let them understand the history of humanity. Knowledge of mythology will also clarify doubts and answer questions about customs and traditions observed for generations. Indian mythology is a compilation of the epics, the Mahabharata and the Ramayana, the Puranas, the Vedas and the Upanishads. Knowledge of Indian mythology also helps children understand the intricacies of religious beliefs.

This set of mythology stories provides a great start for children in this regard. Each book narrates the story of a revered personality and their battle against the evil forces and how they overcome it honourably.

Children will be fascinated as they read stories of how Lord Ganesha got his elephant head; the events that led to the birth of Lord Krishna; why is Lord Shiva’s skin blue; Goddess Durga’s epic battle against the demon Mahishasura; the story of little Prahlad, an ardent devotee of Lord Vishnu; the stories of the epics and more. Children will spend time fruitfully and be thrilled as they read these short narratives.

Introduce Indian mythology to children.
Learn about customs and traditions.
Encourage imagination.
Simple narratives with colourful illustrations.
One story per book.
"""
935376517X,"The Panchatantra is a collection of short stories from India, written more than 5000 years ago! This is a collection of stories from that legendary collection. The stories inculcate moral values in children in a subtle and fun manner. Enjoy the stories, where plants and animals can converse with human beings too!."
9394668160,"Reading short narratives based on the Hindu scriptures is a great way to introduce kids to the great Indian epics. Through 108 tales, this storybook helps kids learn about the life of Lord Krishna. From Krishna's childhood with his friends in Gokul and Vrindavan to his battles against evil and his role in the Kurukshetra War, this book narrates several incidents of his life. Let kids learn love, respect and obedience as they read about Krishna—the naughty boy, Krishna—the friend, brother and son and Krishna—the Divine Protector."
8119099001,"The knowledge of phonics helps to improve pronunciation and read new vocabulary, thus enhancing reading comprehension. This phonic reader set of six stories will help kids develop their reading skills. As they read and understand words, they will discover the relationship between letters and sounds. Designed with short and simple narratives, coupled with large fonts and colourful illustrations, these books will keep kids excited and make learning fun. The stories included in this set are “Baahu the Lazy Boy,” “Cheenu the Little Chick,” “Cherry and Jerry,” “Penny the Pig,” “The Three Sisters” and “Meenu and Granny.”"
8131966151,"Introduce your child to the enchanting world of storytelling with our captivating Story Book Sets. Packed with imagination and adventure, these books open the door to a colorful characters with exciting narratives that will spark your child's curiosity !!!

From classic tales to modern adventures, our collection offers a diverse range of stories designed to entertain and educate young minds.

The Lists of the Story Book Sets are:

1. Cindrella
2. Masha & the Bear
3. Puss in Boots
4. Beauty & the Beast
5. Rapunzel
6. Sleeping Beauty
7. The Bermen Town Musician
8. The Nightangle
9. Thumbelina
10. The Ugly Duckling
11. Aladdin & the Magic Lamp
12. Alibaba & the Forty Theives
13. Jack & the Beanstalk
14. The Jungle Book
15. Peter Pan
16. The Golden Goose
17. The Three Billy Goats
18. The Town Mouse & The Country Mouse
19. The Wolf & the Seven Young Kids
20. Treaseure Island
21. Alice in Wonderland
22. Goldilock & the Three Bears
23. Gulliver's Travels
24. Black Beauty
25. Heidi
26. Robin Hood
27. Snow White & The Seven Dwarfs
28. The Frog Prince
29. The Millionaire Miser
30. The Sly Fox & the Little Red Hen
31. The Ant & The Grasshopper
32. Hansel & Gretel
33. Little Red Riding Hood
34. Pinocchio
35. The Frog Prince
36. The Gingerbread Man
37. The Little Mermaid
38. The Monkey And The Crocodile
39. The Pied Piper of Hamelin
40. The Three Little Pigs

Whether it's a thrilling mystery, a heartwarming tale of friendship, or an exciting adventure in a far-off land, our Story Books Set for kids is a gateway to endless possibilities and a treasure of knowledge, making learning an enjoyable experience for your little one."
935440068X,"This series of Shakespeare’ s Greatest Stories will introduce children to the enchanting world of the master storyteller. Witness revenge, laughter, deception, confusion, magic, and love in these gripping stories. Retold in a simple language with vivid illustrations, these books also include interesting review questions and an introduction to the themes in each story for a better understanding of the young readers."
9389717027,"Jataka Tales are one of the oldest and largest collection of stories, inspired by the recollection of the past lives of the Buddha on the night of his enlightenment. Written in simple language, This book is a beautifully illustrated compilation of tales with valuable lessons of life."
1035008637,"An instant New York Times-besteller! Longlisted for the 2020 National Book Award for Young People's Literature. A YALSA 2021 Best Fiction for Young Adults Top Ten pick Yadriel has summoned a ghost, and now he can't get rid of him. When his traditional Latinx family has problems accepting his true gender, Yadriel becomes determined to prove himself a real brujo. With the help of his cousin and best friend Maritza, he performs the ritual himself, and then sets out to find the ghost of his murdered cousin and set it free. However, the ghost he summons is actually Julian Diaz, the school's resident bad boy, and Julian is not about to go quietly into death. He's determined to find out what happened and tie off some loose ends before he leaves. Left with no choice, Yadriel agrees to help Julian, so that they can both get what they want. But the longer Yadriel spends with Julian, the less he wants to let him leave."
9354409768,"This pack of books is a collection of perfect bedtime stories for children. A set of gorgeously illustrated books with ten timeless stories with thoughtful morals is a cherished item in your child’s library.

This pack of books is a must-have for all children!


Gripping stories inculcate reading habits in your child
Beautiful illustrations stimulate your child’s imagination
Caters to curious minds by developing their vocabulary
Leaves a lasting impression on your children
Excellent for reading aloud to your child during bedtime"
9359803715,"In the bustling modern world, where screens dominate attention and genuine connections seem elusive, there exists Aadimpur, a city untouched by the internet's grip. Here, we introduce you to Sumo and Ginni, two siblings whose heartwarming tales unfold in this book as they embark on an unforgettable journey across India.As they explore nine vibrant cities, from the bustling streets of Kolkata to the serene backwaters of Kerala, readers will be immersed in India's diverse and enchanting tapestry. This captivating adventure will allow you to savor the beauty of each city and experience the magic of India from the comfort of your own imagination."
8194790891,"""Do you feel stuck in life, not knowing how to make it more successful? Do you wish to become more popular? Are you craving to earn more? Do you wish to expand your horizon, earn new clients and win people over with your ideas? How to Win Friends and Influence People is a well-researched and comprehensive guide that will help you through these everyday problems and make success look easier. You can learn to expand your social circle, polish your skill set, find ways to put forward your thoughts more clearly, and build mental strength to counter all hurdles that you may come across on the path to success. Having helped millions of readers from the world over achieve their goals, the clearly listed techniques and principles will be the answers to all your questions. """
9389432014,"A collection of world's timeless classics, this box set includes the four greatest bestsellers, which have inspired readers for generations. Packed with wisdom and time-tested principles that are as relevant in modern times as ever before, these inspirational books are a must-read for all those aspiring for personal growth and wealth."
0007272618,"Perfect your people skills with his fun, witty and informative guide, containing 92 little tricks to create big success in personal and business relationships. In How to Talk to Anyone, bestselling relationships author and internationally renowned life coach Leil Lowndes reveals the secrets and psychology behind successful communication. These extremely usable and intelligent techniques include how to:

Work a party like a politician works a room
Be an insider in any crowd
Use key words and phrases to guide the conversation
Use body language to connect

This is the key to having successful conversations with anyone, any time."
0143452207,"Do you want to change your career? Start a business? Stop losing sleep over a deadline? End your relationship? Or maybe, just live a fulfilling life? Everyone has goals and ambitions in life. But we often don't pursue our inner desires because of one thing: Fear and a lack of self-confidence.

In Win Your Inner Battles, I will show you how to destroy fear and live your life with a sense of purpose.

You'll learn how to:
Conquer fearImprove self-confidenceStop worryingAnd live life on YOUR termsI wrote this book based on my own experiences. No matter how bad your situation is, there is always a way out."
1785122185,"I know exactly what it’s like to put others first, to settle for less than you deserve and to navigate relationships while trying to balance your independence and goals. But we are worth more than this.

Having embarked on my self-love journey, I found that women often lacked clarity on what self-love really means and how to achieve it and this needs to change. I’ve packed Buy Yourself the Damn Flowers with lessons and methods I’ve learnt so that no woman is left accepting what life throws at her, but rather can use every moment as a tool to craft her dream self and reality. Whether you’re single, taken, heartbroken, healing or trying to level up into the best version of yourself, this book is for you.

Buy Yourself the Damn Flowers is an in-depth, comprehensive guide for all things self-love, including actionable homework, transformative tools and reassuring information that will help every woman learn to:

set boundaries

escape external validation

build confidence

transform pain into power

maintain loving yourself whilst loving others, and so much more.

Every woman deserves to cultivate a lasting love for the person who matters most: you. It’s finally time to buy yourself the damn flowers.

Tam x"
9354402828,"If you have a lean purse and are looking for financial wisdom, you’ ve picked the perfect book!“ A PART OF ALL YOU EARN IS YOURS TO KEEP.”
This beautiful leather-bound edition of Clason’ s classic bestseller The Richest Man in Babylon makes for a perfect addition to any library. From the importance of savings to the essentials on how to become wealthy, this collection of famous Babylonian parables imparts timeless financial wisdom. It offers insights on how to become wealthy and how to attract good luck and discusses the five laws of gold.
A perfect guide to understanding finances and a powerhouse of time-tested principles to gain and retain personal wealth, The Richest Man in Babylon has been inspiring readers for generations. """
0349413681,"Cal Newport discusses in his new book, Deep Work: Rules For Focused Success In A Distracted World, about how professionals of today have started valuing quantity over quality; and how this has turned young professionals of today into puppets who try to indulge in extensive multitasking, dealing with multiple emails and projects. This prevents them from doing 'deep work'; which is focused work free from all other distractions. This also means that the professionals of today should sort out their priorities.

Newport uses principles of psychology and neuroscience to enhance his points. He elaborates how to improve a person's cognitive abilities and how employers should encourage workers to not take shortcuts for completing projects. He claims that the best way to break away from the corporate race is to take a break from technology and social media and use some alone-time to rewind and introspect. Newport enforces the beliefs of a non-technophile to deliver work that is productive and efficiently delivered."
0143465066,"Your mind should ideally be your safe zone, not the noisiest place in the world. Although that is rarely the case, and if you are always on edge and unable to relax, this book is for you.

Control your thoughts. Manage your happiness. Restore your inner peace. With help from psychologically proven tips to get out of your mind and into your life:

Practicing nonjudgment and observation over your emotions.
Untangling the toxic beliefs of urgency and danger in your brain.
How to use brain dumping in the most calming way possible.
Exercises for self-distancing and externalization: powerful psychological techniques.
Defeating your drive for perfection while finding a drive for excellency.


The Art of Letting Go is about organizing the mess in our minds. For that, it is important not to dwell on the past, or obsess over the future that may never occur; but that is easier said than done. Learn how to trust that things will be okay, how to control your self-talk, and transform your internal worldview."
0718188861,"Admiral William H. McRaven has been in the Navy for 37 years and in 2014 made a speech about the ten life-changing principles that he learned during those years. The video of his speech went viral reaching ten million views and now his inspiring book, Make Your Bed, has taken the US by storm.

He spoke about how these ten essential lessons helped him overcome challenges during his naval career and throughout his life; he explained how anyone can use these basic lessons to change themselves and the world, for the better.

Told with great humility and optimism, this timeless book provides simple and universal wisdom, practical advice and words of encouragement that will inspire readers to achieve more, even in life's darkest moments."
